,Home,HFG%,H3P%,HFT%,HORB,HTOV,HAST,HPTS,Away,AFG%,A3P%,AFT%,AORB,ATOV,AAST,APTS,HRFG%,HR3P%,HRFT%,HRO,HRT,HRS,HRP,ARFG%,AR3P%,ARFT%,ARO,ART,ARS,ARP,Winner,Home_elo_before,Away_elo_before,Home_elo_after,Away_elo_after,Home_sm_before,Away_sm_before,Home_sm_after,Away_sm_after
51,MEM,.411,.294,.867,9,7,18,96,DAL,.340,.294,.850,18,10,14,91,0.4490861618798956,0.3535714285714286,0.7801418439716312,6.5,7.8,13.7,100.7,0.4245742092457421,0.38580246913580246,0.7420814479638009,8.5,7.1,14.4,98.7,H,1518.2047852696971,1465.0733186194218,1523.9308947879597,1459.3472091011593,643.5159352496463,624.8709963938634,650.0781345753684,618.3087970681413
52,MIL,.455,.440,.571,2,6,16,89,BOS,.423,.367,.864,6,7,15,96,0.48614609571788414,0.36470588235294116,0.780952380952381,6.0,7.7,14.3,102.9,0.44552058111380144,0.37209302325581395,0.7611336032388664,10.6,9.1,14.0,103.6,A,1498.9507164296226,1511.9489585764966,1490.9358859567615,1519.9637890493577,975.5893730038044,1122.3278867731885,971.0637754297205,1126.8534843472726
53,POR,.393,.452,.864,16,5,9,103,LAC,.468,.321,.639,14,4,11,104,0.4212328767123288,0.37735849056603776,0.8301886792452831,12.7,6.9,13.7,105.8,0.432,0.3466666666666667,0.7642276422764228,13.4,8.9,13.9,104.8,A,1518.7617187371945,1529.317690170028,1514.875392747183,1533.2040161600396,1012.0179265605645,909.2119149646138,1006.3473675111197,914.8824740140586
54,SAC,.469,.350,.920,5,7,12,106,NOP,.488,.406,.739,10,5,15,114,0.42488262910798125,0.3443396226415094,0.7553956834532374,10.6,7.1,14.6,90.2,0.46745562130177515,0.3300970873786408,0.7531914893617021,9.0,8.7,16.8,106.9,A,1484.8678913759463,1478.5594593548942,1475.576854956823,1487.8504957740176,450.1302607928362,979.4215445758648,449.55168527126165,980.0001200974393
55,ORL,.571,.478,.500,6,9,17,114,SAS,.337,.167,.852,17,8,17,87,0.4661308840413318,0.4028268551236749,0.7704081632653061,9.2,7.3,15.2,107.7,0.4371395617070358,0.3397129186602871,0.7336244541484717,13.3,7.0,14.7,99.7,H,1526.1902913893646,1539.0905976284428,1547.4211294287002,1517.8597595891074,671.6291469858077,1024.0691268473367,721.5015940606069,974.1966797725375
56,ATL,.416,.424,1.000,11,7,12,100,DEN,.462,.200,.739,11,8,11,105,0.45670225385527874,0.4098360655737705,0.8057142857142857,8.5,9.5,15.0,101.1,0.46545454545454545,0.4035714285714286,0.7365853658536585,10.8,6.6,17.4,103.2,A,1488.535993653943,1498.0157650501685,1481.7421086932593,1504.8096500108522,556.5843027862602,920.6594160889783,555.3906730555568,921.8530458196817
57,MIN,.488,.364,.771,17,5,15,119,OKC,.500,.286,.880,11,8,14,116,0.46604215456674475,0.3722943722943723,0.7777777777777778,10.1,8.5,15.3,107.8,0.4626865671641791,0.34838709677419355,0.7156862745098039,11.0,10.6,15.6,106.0,H,1465.6428446187372,1516.7861111060788,1472.3238710798169,1510.1050846449991,954.9613979132753,989.5358768518588,961.281333446814,983.2159413183201
58,GSW,.484,.263,.900,15,7,17,120,WAS,.443,.455,.727,12,7,14,117,0.5261904761904762,0.41304347826086957,0.8333333333333334,9.4,7.6,17.0,119.7,0.46153846153846156,0.34600760456273766,0.7773851590106007,9.8,10.1,14.2,111.5,H,1522.194703219645,1513.525395724456,1527.608304773719,1508.111794170382,1347.336074527521,967.1004994529541,1348.1999202912557,966.2366536892195
59,LAL,.456,.130,.708,9,7,21,92,TOR,.430,.241,.700,9,12,12,101,0.4554794520547945,0.2723404255319149,0.7192118226600985,9.0,8.4,17.6,100.8,0.45537757437070936,0.2944606413994169,0.82,9.9,9.1,13.7,110.2,A,1483.8254554038056,1521.6918212982503,1475.403446190731,1530.1138305113247,774.4139683817833,1361.1928613164625,773.9768015052028,1361.630028193043
60,NOP,.516,.394,.750,10,10,11,123,CLE,.462,.375,.739,5,8,18,101,0.45990566037735847,0.33980582524271846,0.7552742616033755,9.4,7.8,16.5,106.4,0.4704463208685163,0.3468013468013468,0.8067226890756303,8.4,5.9,14.7,107.5,H,1487.8504957740176,1511.3818283706682,1506.9034855637194,1492.3288385809665,980.0001200974393,967.0437888886959,996.6846933860933,950.3592156000419
61,CHI,.282,.270,.750,12,9,19,69,OKC,.443,.382,.714,11,16,11,101,0.40211019929660025,0.33653846153846156,0.783625730994152,10.6,5.1,14.6,92.5,0.4709897610921502,0.3442622950819672,0.7428571428571429,11.3,10.0,15.3,108.9,A,1476.0725799698453,1510.1050846449991,1455.9396788968318,1530.2379857180126,457.4668395663951,983.2159413183201,455.9746785716184,984.7081023130968
62,MEM,.471,.424,.750,6,10,9,103,HOU,.377,.368,.810,8,4,17,89,0.4435695538057743,0.34494773519163763,0.7890909090909091,6.8,7.7,14.1,99.2,0.4467312348668281,0.3071593533487298,0.8073770491803278,8.9,9.1,15.1,106.8,H,1523.9308947879597,1518.0425142235454,1536.5153378023908,1505.4580712091142,650.0781345753684,1374.3919096482102,710.3130593396063,1314.1569848839722
63,MIA,.430,.226,.938,6,6,19,90,BOS,.420,.261,.846,11,11,12,96,0.4686046511627907,0.3450479233226837,0.768361581920904,7.5,7.6,15.1,105.0,0.44634146341463415,0.3741721854304636,0.7805907172995781,9.8,9.4,13.6,103.0,A,1495.3824757242053,1519.9637890493577,1488.3345306914246,1527.0117340821384,874.6644026077336,1126.8534843472726,872.2226525123797,1129.2952344426265
64,DAL,.514,.475,.789,3,7,17,110,PHI,.494,.457,.714,11,10,13,112,0.40973871733966744,0.37349397590361444,0.7594339622641509,9.9,7.5,14.7,97.5,0.45861297539149887,0.38801261829652994,0.6770833333333334,11.0,9.4,16.8,107.3,A,1459.3472091011593,1470.2833469492734,1454.7079740339302,1474.9225820165025,618.3087970681413,1154.0402083720414,618.0126755688882,1154.3363298712945
